respId,submitTime,marketCubeId,zip,age,gender,ethnicity,targetId,targetConstruct,targetIntensity,constructImage,constructImagePosition,foilImage,foilConstruct,foilIntensity,foilImagePosition,userSelection,correct,answerBreakdown,numResponses,percentCorrect,count
 76,Dec 21, 2017 10:41:27 AM,569418ad-f77b-47c8-b287-43a6ccffe24c,20019,27,1,2,1,Pride,0.2,Pride_0.2,0,Distress_0.2,Distress,0.2,2,0,1,1,16,0.6875,1
 77,Dec 21, 2017 10:42:23 AM,aa6b60f3-f483-4498-a204-b41d1ecaa143,1108,26,1,1,1,Dislike,0.2,Dislike_0.2,2,Love_0.2,Love,0.2,0,2,1,1,16,0.6875,1
 78,Dec 21, 2017 10:41:36 AM,ee776539-6904-4a60-9582-41680fa2a4f7,34613,59,1,1,1,Contempt,1.0,Contempt_1.0,0,Pride_1.0,Pride,1.0,2,2,0,0,16,0.5,1
 79,Dec 21, 2017 10:42:58 AM,522ea558-c24f-4b92-bea8-6cecd1f997e7,27244,22,2,1,1,Contempt,0.2,Contempt_0.2,2,Dislike_0.2,Dislike,0.2,0,0,0,0,16,0.5625,1
 80,Dec 21, 2017 10:42:47 AM,7c6974e5-222c-45d2-96e8-a2e0137e3224,31548,30,2,3,1,Relief,0.2,Relief_0.2,2,Love_0.2,Love,0.2,0,1,0,2,16,0.4375,1
 81,Dec 21, 2017 10:42:19 AM,a2690b04-71bc-4ffc-8132-2d91adffc85f,20785,24,1,2,1,Frustration,0.2,Frustration_0.2,0,Pride_0.2,Pride,0.2,2,1,0,2,16,0.5,1
 82,Dec 21, 2017 10:42:42 AM,a3afde56-d109-4e97-a9c6-24cc6391fc16,72830,42,2,1,1,Love,0.2,Love_0.2,2,Frustration_0.2,Frustration,0.2,0,2,1,1,16,0.4375,1
 83,Dec 21, 2017 10:42:42 AM,55023ae4-5044-4e6d-bb7e-40fad8002901,40442,36,1,1,1,Regret,0.2,Regret_0.2,2,Distress_0.2,Distress,0.2,0,0,0,0,16,0.6875,1
 84,Dec 21, 2017 10:42:10 AM,4552547d-2b63-4119-80eb-b6b4bcbb9f54,20020,50,1,2,1,Love,1.0,Love_1.0,2,Frustration_1.0,Frustration,1.0,0,2,1,1,16,0.5,1
 85,Dec 21, 2017 10:42:57 AM,19d69d68-adc4-4dcf-a19c-15c3b4fc852d,30549,30,2,1,1,Dislike,1.0,Dislike_1.0,0,Pride_1.0,Pride,1.0,2,0,1,1,16,0.6875,1
 86,Dec 21, 2017 10:43:01 AM,4e0032bb-0c0d-46f0-af38-7f292ab524f6,65251,43,1,1,1,Contempt,1.0,Contempt_1.0,0,Dislike_1.0,Dislike,1.0,2,0,1,1,16,0.8125,1
 87,Dec 21, 2017 10:42:52 AM,7759f16c-bd65-490d-8e64-0fdc3e49c8b6,7514,40,2,4,1,Contempt,1.0,Contempt_1.0,2,Dislike_1.0,Dislike,1.0,0,1,0,2,16,0.5,1
 88,Dec 21, 2017 10:42:57 AM,14b4b351-e56a-474b-8975-409d6232b3ea,48866,42,1,1,1,Pride,1.0,Pride_1.0,2,Regret_1.0,Regret,1.0,0,2,1,1,16,0.4375,1
 89,Dec 21, 2017 10:41:41 AM,5d3c1904-a398-4bda-a866-e2866b6a5da6,71740,33,2,1,1,Contempt,0.2,Contempt_0.2,2,Relief_0.2,Relief,0.2,0,2,1,1,16,0.5,1
 90,Dec 21, 2017 10:42:04 AM,cb050b6c-40b1-4954-a3b7-1b554a8e9fbd,76020,45,1,1,1,Frustration,1.0,Frustration_1.0,0,Pride_1.0,Pride,1.0,2,0,1,1,16,0.375,1
 91,Dec 21, 2017 10:43:07 AM,baa38d89-0b85-41dd-9124-c9d391da7808,33830,29,2,1,1,Love,1.0,Love_1.0,2,Distress_1.0,Distress,1.0,0,2,1,1,16,0.625,1
 92,Dec 21, 2017 10:43:23 AM,16f815d9-3d50-442f-9aae-db0a286ad9bb,89169,51,1,4,1,Distress,0.2,Distress_0.2,2,Regret_0.2,Regret,0.2,0,2,1,1,16,0.75,1
 93,Dec 21, 2017 10:43:43 AM,79a56e2f-0270-4630-bff9-b35179bed2e8,97051,33,1,5,1,Contempt,0.2,Contempt_0.2,2,Pride_0.2,Pride,0.2,0,2,1,1,16,0.8125,1
 94,Dec 21, 2017 10:43:06 AM,518946e3-af5e-4ae7-92bc-8bb236212a85,92316,60,2,1,1,Pride,1.0,Pride_1.0,0,Love_1.0,Love,1.0,2,0,1,1,16,0.625,1
 95,Dec 21, 2017 10:43:37 AM,3fb5121f-69c0-4855-98c2-c1fcaa9d30d0,28560,42,2,5,1,Relief,0.2,Relief_0.2,0,Dislike_0.2,Dislike,0.2,2,1,0,2,16,0.3125,1
 96,Dec 21, 2017 10:40:40 AM,8cbbc154-722f-4673-ac14-7d3e20e8cac9,19020,36,1,1,1,Dislike,0.2,Dislike_0.2,2,Relief_0.2,Relief,0.2,0,2,1,1,16,0.875,1
 97,Dec 21, 2017 10:43:37 AM,7ec3dd77-7684-4cad-b34e-12c130049f3b,45420,23,1,1,1,Dislike,1.0,Dislike_1.0,0,Contempt_1.0,Contempt,1.0,2,0,1,1,16,0.6875,1
 98,Dec 21, 2017 10:43:29 AM,d3c4af07-2cb9-4c1b-953c-7eebc7388bdd,33844,44,2,1,1,Relief,0.2,Relief_0.2,0,Distress_0.2,Distress,0.2,2,1,0,2,16,0.6875,1
 99,Dec 21, 2017 10:43:41 AM,feeaebd6-a6e4-4e73-95e0-d59ffcf5064c,29609,51,2,1,1,Love,1.0,Love_1.0,0,Distress_1.0,Distress,1.0,2,0,1,1,16,0.75,1
 100,Dec 21, 2017 10:43:16 AM,cfb01bb6-551e-4da8-ac94-700accefdb14,94520,30,1,1,1,Distress,1.0,Distress_1.0,2,Dislike_1.0,Dislike,1.0,0,2,1,1,16,0.875,1
 101,Dec 21, 2017 10:42:23 AM,5d7eb196-9c37-4ffe-b2b9-7b294ab4c711,46143,42,2,1,1,Regret,1.0,Regret_1.0,2,Relief_1.0,Relief,1.0,0,2,1,1,16,0.625,1
 102,Dec 21, 2017 10:43:22 AM,5211056c-2c00-40f6-84c9-8f47a5d2c49a,27299,48,2,1,1,Contempt,0.2,Contempt_0.2,0,Dislike_0.2,Dislike,0.2,2,1,0,2,16,0.5625,1
 103,Dec 21, 2017 10:44:20 AM,6240a8c8-620d-4809-9fb4-7b9595a27bb1,32503,59,2,1,1,Dislike,1.0,Dislike_1.0,2,Pride_1.0,Pride,1.0,0,2,1,1,16,0.625,1
 104,Dec 21, 2017 10:44:36 AM,43c8a9da-a098-4fe8-ada9-e5a1666d0340,10025,43,1,3,1,Regret,1.0,Regret_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.6875,1
 105,Dec 21, 2017 10:44:51 AM,5413e3e8-3292-4c02-818d-6f0d0421e372,22203,26,2,1,1,Pride,0.2,Pride_0.2,2,Dislike_0.2,Dislike,0.2,0,1,0,2,16,0.75,1
 106,Dec 21, 2017 10:44:01 AM,bcd0566e-a86c-4ea0-a1b7-f06cc59939b5,48867,49,2,1,1,Contempt,0.2,Contempt_0.2,2,Relief_0.2,Relief,0.2,0,1,0,2,16,0.6875,1
 107,Dec 21, 2017 10:43:22 AM,96d4ec0d-7a59-450a-8e92-b66b80341976,94703,24,1,3,1,Pride,0.2,Pride_0.2,2,Dislike_0.2,Dislike,0.2,0,1,0,2,16,0.4375,1
 108,Dec 21, 2017 10:44:33 AM,e8d4a01e-5820-4796-8c04-c8660fb4672f,36054,53,2,1,1,Pride,0.2,Pride_0.2,0,Regret_0.2,Regret,0.2,2,1,0,2,16,0.5625,1
 109,Dec 21, 2017 10:44:03 AM,684ab858-b4cc-4a85-a7b5-1f6d62f94ece,33511,61,1,4,1,Contempt,0.2,Contempt_0.2,0,Regret_0.2,Regret,0.2,2,1,0,2,16,0.5625,1
 110,Dec 21, 2017 10:44:43 AM,bf671b69-db47-4d55-b29a-40ce36d8e767,83837,59,2,1,1,Love,1.0,Love_1.0,2,Contempt_1.0,Contempt,1.0,0,2,1,1,16,0.8125,1
 111,Dec 21, 2017 10:44:14 AM,4e197000-05ea-4868-9dd8-ce78a7639019,42330,62,2,1,1,Pride,1.0,Pride_1.0,0,Distress_1.0,Distress,1.0,2,0,1,1,16,0.5625,1
 112,Dec 21, 2017 10:45:15 AM,f8814906-9c9f-40e6-a902-d6d5289dbb14,25703,20,2,1,1,Contempt,1.0,Contempt_1.0,2,Relief_1.0,Relief,1.0,0,0,0,0,16,0.75,1
 113,Dec 21, 2017 10:45:02 AM,9c9b534a-3781-413f-b04e-e74662943c26,63051,53,2,1,1,Frustration,0.2,Frustration_0.2,0,Dislike_0.2,Dislike,0.2,2,1,0,2,16,0.625,1
 114,Dec 21, 2017 10:45:01 AM,d64db843-afbd-4996-833c-343b16a9d3c1,48504,38,2,1,1,Love,1.0,Love_1.0,2,Pride_1.0,Pride,1.0,0,2,1,1,16,0.625,1
 115,Dec 21, 2017 10:45:37 AM,ed01c73b-2a40-4994-a196-b47e2a508f01,77345,28,1,1,1,Regret,1.0,Regret_1.0,2,Relief_1.0,Relief,1.0,0,2,1,1,16,0.8125,1
 116,Dec 21, 2017 10:44:39 AM,adf67320-e937-4188-94e2-16eb45d9bcfd,31312,39,2,1,1,Regret,0.2,Regret_0.2,0,Distress_0.2,Distress,0.2,2,0,1,1,16,0.6875,1
 117,Dec 21, 2017 10:45:37 AM,983f3f7e-2e91-4682-ad4d-b570b9821094,32259,29,1,1,1,Pride,0.2,Pride_0.2,0,Love_0.2,Love,0.2,2,1,0,2,16,0.625,1
 118,Dec 21, 2017 10:44:32 AM,04965371-11cc-44ec-8dd6-1ffd83fa84e2,48906,50,1,1,1,Love,0.2,Love_0.2,0,Relief_0.2,Relief,0.2,2,0,1,1,16,0.625,1
 119,Dec 21, 2017 10:45:34 AM,5affb210-b1d0-45c6-9e52-d965ab72dd3f,97203,25,2,1,1,Frustration,1.0,Frustration_1.0,0,Distress_1.0,Distress,1.0,2,0,1,1,16,0.75,1
 120,Dec 21, 2017 10:45:25 AM,b3338410-6973-44f5-8fbd-14ed17f3ffb0,23223,29,2,2,1,Frustration,1.0,Frustration_1.0,2,Distress_1.0,Distress,1.0,0,0,0,0,16,0.6875,1
 121,Dec 21, 2017 10:44:20 AM,88ca35e6-53c7-4518-acf6-332eef11563a,68114,29,2,4,1,Regret,0.2,Regret_0.2,0,Frustration_0.2,Frustration,0.2,2,2,0,0,17,0.6470588235,1
 122,Dec 21, 2017 10:45:45 AM,624d9246-e0a3-4671-82b7-3694a550b021,54650,36,2,1,1,Dislike,1.0,Dislike_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.625,1
 123,Dec 21, 2017 10:46:06 AM,7c90a71f-c2d5-4b77-81c9-95dbe3903e65,11722,24,1,4,1,Contempt,0.2,Contempt_0.2,0,Love_0.2,Love,0.2,2,0,1,1,16,0.5625,1
 124,Dec 21, 2017 10:46:05 AM,dd4bb871-9f94-49c7-8b7a-057161dea10e,76901,29,2,1,1,Contempt,0.2,Contempt_0.2,2,Regret_0.2,Regret,0.2,0,1,0,2,16,0.625,1
 125,Dec 21, 2017 10:45:24 AM,a2503deb-2319-4d09-8412-a7148ba73644,62812,53,2,1,1,Distress,0.2,Distress_0.2,2,Contempt_0.2,Contempt,0.2,0,1,0,2,16,0.375,1
 126,Dec 21, 2017 10:44:49 AM,2c4940a5-e909-4d75-aecc-adcf9b745c26,37660,54,1,1,1,Frustration,1.0,Frustration_1.0,2,Contempt_1.0,Contempt,1.0,0,2,1,1,16,0.625,1
 127,Dec 21, 2017 10:46:24 AM,8c8341de-c7b6-4afe-b57c-c681052bcf6f,20152,32,2,1,1,Contempt,0.2,Contempt_0.2,0,Love_0.2,Love,0.2,2,0,1,1,16,0.8125,1
